,level_0,index,GaiaEDR3,RA_ICRS,DE_ICRS,Plx,Pwd,PM,pmRA,pmDE,Gmag,BPmag,RPmag,TeffH,e_TeffH,loggH,e_loggH,MassH,TeffHe,e_TeffHe,loggHe,e_loggHe,MassHe,Teffmix,e_Teffmix,loggmix,e_loggmix,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,SDSS12,umag,gmag,rmag,imag,zmag,recno,spectype,l,b
15,309,24081,947709444673421824,107.47689333464,40.53612523332,3.6495,0.999679,20.643,-6.127,-19.713,18.298999786376953,18.28070068359375,18.4601993560791,17146.26,2265.69,7.973269,0.217968,0.602201,17529.52,3169.76,8.087044,0.322603,0.645135,17460.99,3229.74,8.090941,0.324313,276.547974,264.827759,288.192596,278.467133,265.931854,293.507721,J070954.45+403210.1,18.409000396728516,18.156999588012695,18.465999603271484,18.70199966430664,18.974000930786133,155961,DA,176.92438090312262,20.536673411817542
16,311,24119,886366114708208640,107.52012710804,29.40063754717,14.4316,0.999341,101.321,-1.403,-101.311,15.494000434875488,15.463399887084961,15.585700035095215,14367.59,308.79,7.91274,0.032432,0.562026,14119.24,293.23,7.911979,0.040128,0.538386,14032.15,288.98,7.912703,0.040375,69.1414871,68.9011765,69.3624954,69.1536102,68.8981171,69.419693,J071004.83+292403.1,15.680999755859375,15.34000015258789,15.621000289916992,15.864999771118164,16.13800048828125,156025,DA,187.94707173282455,16.66946945390913
17,314,24540,946668555055507328,107.94537514242,38.89945334144,5.9609,0.994458,17.201,14.54,9.19,17.75670051574707,17.759000778198242,17.820999145507812,13505.3,1135.65,8.060279,0.121169,0.64478,13241.94,1037.99,8.027027,0.160735,0.602433,13145.53,1066.38,8.02346,0.170347,167.921967,165.09581,172.421356,167.587784,164.286377,171.753021,J071146.86+385357.9,18.079999923706055,17.638999938964844,17.878000259399414,18.089000701904297,18.323999404907227,156700,DA,178.70165349778085,20.349076365175133
18,319,24618,946446900382573696,108.00667444076,38.28198299903,3.0055,0.999434,11.803,2.693,-11.491,18.03380012512207,17.979700088500977,18.25779914855957,21420.93,2798.0,7.789024,0.210959,0.51706,24615.05,6877.6,7.929315,0.210883,0.567662,24637.72,6860.42,7.936283,0.211825,336.827087,321.608337,355.604034,321.49646,312.304901,333.26239,J071201.59+381655.2,17.783000946044922,17.836999893188477,18.218000411987305,18.534000396728516,18.864999771118164,156819,DA,179.3403780446676,20.192340303810255
19,336,25461,946584644278180096,108.83901041648,39.03129030312,4.0069,0.999627,14.322,5.312,-13.3,17.7362003326416,17.70319938659668,17.90760040283203,17375.15,1703.53,7.754457,0.143865,0.489049,17932.94,2262.84,7.886155,0.188939,0.531615,17863.99,2306.91,7.889618,0.190569,249.757385,243.485031,255.797043,256.090363,249.885391,261.467621,J071521.35+390152.7,17.569000244140625,17.524999618530273,17.917999267578125,18.18899917602539,18.524999618530273,158190,DA,178.8068580618319,21.04941411094059
20,339,25782,948104306786401664,109.13715903878,39.59824828691,4.0943,0.999059,22.843,5.287,-22.223,18.38330078125,18.328399658203125,18.51490020751953,17280.53,3134.55,8.210101,0.269572,0.744329,15776.49,3364.7,8.157119,0.403594,0.68582,15681.34,3444.94,8.159382,0.414833,245.692612,236.575455,256.717407,270.641022,261.078796,280.097015,J071632.91+393553.8,18.433000564575195,18.226999282836914,18.514999389648438,18.791000366210938,19.018999099731445,158670,DA,178.30699038342834,21.446402160864444
21,350,26250,898348313253395968,109.56823578561,37.5274064439,11.8194,0.999512,49.992,-34.878,-35.816,16.954299926757812,16.81999969482422,17.233299255371094,30190.01,2954.02,9.263793,0.109943,1.330093,38204.13,4365.15,9.347037,0.103414,1.377795,38119.34,4434.31,9.349483,0.106978,84.5521927,83.9763336,85.3575592,84.5692673,83.9362564,85.2706833,J071816.40+373139.0,16.298999786376953,16.694000244140625,17.219999313354492,17.527000427246094,17.798999786376953,159384,DC,180.53006010215856,21.11331212918769
22,351,26268,948448247768339584,109.58843570005,40.51075237368,4.787,0.999544,14.981,-11.716,-9.335,17.81329917907715,17.784400939941406,17.95680046081543,15135.03,1099.82,7.907987,0.126085,0.561341,14402.34,997.83,7.867779,0.135685,0.515165,14311.33,975.07,7.868693,0.135701,209.86676,205.208954,214.696594,212.128235,207.903259,217.064682,J071821.23+403038.8,17.93400001525879,17.6560001373291,17.951000213623047,18.19099998474121,18.474000930786133,159416,DA,177.4854145561319,22.05441707898955
23,361,26436,896326002132552320,109.75194758192,33.72159636786,10.0345,0.994284,81.882,24.124,-78.248,18.551799774169922,18.743799209594727,18.263399124145508,7368.32,476.09,8.203374,0.184342,0.719904,7229.48,462.58,8.140611,0.195468,0.662264,6957.96,371.27,7.999339,0.208291,99.2685089,97.16362,101.510674,99.7331772,97.6812057,103.703705,J071900.43+334318.9,19.177000045776367,18.73200035095215,18.576000213623047,18.586000442504883,18.631999969482422,159660,DC,184.419434606407,19.99736495972601
24,364,26534,887128071970085376,109.853637222,32.13301070744,1.7032,0.995508,11.565,-8.628,-7.701,18.409099578857422,18.320100784301758,18.655799865722656,24094.52,4157.49,7.44037,0.328419,0.416765,27314.79,5723.88,7.53918,0.295353,0.456502,27357.4,5756.04,7.547023,0.296172,632.683838,558.310974,714.059875,624.237061,592.054871,646.934082,J071924.87+320758.9,17.89699935913086,18.187999725341797,18.641000747680664,18.97800064086914,19.270999908447266,159827,DA,186.03535735664653,19.530155845500385
25,368,26692,948246835277407744,109.99837478406,40.3556895058,16.6529,0.999825,172.638,138.597,-102.931,14.86400032043457,14.789600372314453,14.989999771118164,16953.31,404.41,7.89917,0.031872,0.560992,17003.85,515.96,7.987053,0.048924,0.585483,16925.54,529.01,7.990594,0.049593,59.9366417,59.809227,60.0969391,59.9673004,59.8529739,60.0705261,J071959.46+402121.7,14.597999572753906,14.696999549865723,15.031999588012695,15.293000221252441,15.5600004196167,160073,DB,177.7461201439639,22.305666855974703
26,369,26786,898069106018965888,110.08702761229,36.78503550187,3.4963,0.997461,20.517,6.486,-19.465,17.09269905090332,16.98940086364746,17.30620002746582,23985.1,1519.35,7.582479,0.090204,0.461632,28816.71,2086.69,7.809843,0.054876,0.627478,28698.06,2073.71,7.810546,0.054628,286.826752,281.129944,292.819,301.116547,292.112915,308.228058,J072020.87+364706.3,16.832000732421875,16.895000457763672,17.281999588012695,17.5939998626709,17.850000381469727,160225,DA,181.42627569811333,21.26763019577654
27,375,26954,898170849500461184,110.23789657425,37.48438487784,3.116,0.999242,30.121,-30.106,0.937,18.82379913330078,18.858600616455078,19.00819969177246,15967.86,2799.13,8.013534,0.306819,0.622639,16434.75,3729.2,8.117044,0.431533,0.661861,16382.78,3866.58,8.123366,0.442163,321.56488,303.542847,344.593506,316.45752,303.900543,337.96524,J072057.11+372903.7,19.01099967956543,18.680999755859375,18.9689998626709,19.243999481201172,19.458999633789062,160473,DA,180.75472383458816,21.60349834570925
28,381,27079,948176187359304960,110.37019995216,39.95011222484,5.008,0.993439,36.767,-3.928,-36.556,18.80069923400879,18.85610008239746,18.699499130249023,9980.05,1019.34,8.052724,0.291595,0.631834,9726.01,985.94,7.937184,0.256657,0.543401,9302.11,1034.8,7.789858,0.301481,200.665665,191.912933,209.771317,208.345367,193.966095,221.251511,J072128.84+395700.8,18.920000076293945,18.795000076293945,18.881999969482422,18.985000610351562,19.15999984741211,160669,DA,178.2563613736394,22.45619365540095
29,386,27172,893134841431510016,110.44749072934,32.47326642688,7.2217,0.996032,49.747,24.341,-43.386,18.088699340820312,18.013399124145508,18.007099151611328,10883.91,1119.21,8.279661,0.208688,0.777183,10912.23,1265.42,8.218318,0.226605,0.718294,10590.51,1326.77,8.145698,0.285255,137.914368,135.794968,140.672256,137.796646,135.659637,140.752258,J072147.38+322824.1,18.253000259399414,18.0939998626709,18.19700050354004,18.326000213623047,18.469999313354492,160806,DA,185.88030293986003,20.11875024079949
30,389,27364,886044949937203200,110.61547805303,30.86027411352,6.4102,0.99217,60.584,-60.288,5.974,18.736400604248047,18.849899291992188,18.604299545288086,9248.84,1023.14,8.201105,0.321972,0.722776,8991.19,992.05,8.110701,0.320226,0.646141,8583.22,942.54,7.951321,0.321202,156.863022,149.204742,164.20285,166.136795,159.777832,174.514221,J072227.75+305136.8,19.33099937438965,18.812000274658203,18.802000045776367,18.854999542236328,19.18899917602539,161092,DA,187.54226214276872,19.6941067714651
31,395,27583,1101763324511186304,110.81364767286,66.04637086896,10.3972,0.991088,35.294,32.169,-14.518,18.002199172973633,18.164499282836914,17.727399826049805,7575.15,192.09,7.949148,0.081699,0.563581,7433.95,186.28,7.881783,0.086056,0.506941,7124.91,168.84,7.76273,0.055411,95.878067,94.7547379,96.9334488,96.7003098,95.3011322,189.300446,J072315.21+660247.0,18.618999481201172,18.142000198364258,18.042999267578125,18.072999954223633,18.125,161437,DA,149.97395834623592,27.821170693824786
32,397,27693,900040942684340608,110.91307293549,39.14402810185,8.3877,0.995733,92.9,38.111,-84.723,17.824800491333008,17.86669921875,17.763200759887695,10489.39,528.32,8.251951,0.117666,0.75838,10088.9,490.41,8.119962,0.117127,0.653932,9693.07,528.85,8.002363,0.14884,118.934738,116.762573,120.862389,121.793144,119.82946,123.82579,J072339.09+390839.5,17.951000213623047,17.790000915527344,17.915000915527344,18.035999298095703,18.19300079345703,161618,DC,179.22442250966841,22.61593335670137
33,408,27882,892944179243357056,111.08645748019,32.10298574311,11.596,0.995101,44.398,-20.841,-39.203,17.41990089416504,17.49049949645996,17.313899993896484,9919.29,518.65,8.329797,0.123225,0.807947,9664.71,509.53,8.237391,0.120877,0.728873,9253.48,522.03,8.10746,0.147796,86.1642075,84.828186,87.2630005,87.5642471,85.804657,191.044693,J072420.76+320611.1,17.795000076293945,17.430999755859375,17.4950008392334,17.591999053955078,17.77199935913086,161901,DA,186.44799737373125,20.500106805203814
34,413,27948,886075117787700096,111.15953861399,31.12468570103,8.9607,0.9954,22.431,-17.072,-14.55,17.454599380493164,17.514299392700195,17.390600204467773,10283.31,483.47,8.066383,0.112796,0.640942,10008.02,474.7,7.943503,0.113973,0.54765,9605.58,509.75,7.813571,0.119981,111.327339,110.059525,112.52829,111.630791,110.38195,112.950859,J072438.30+310729.0,17.858999252319336,17.437999725341797,17.549999237060547,17.684999465942383,17.888999938964844,162021,DA,187.45107204131938,20.223335520637704
35,417,27978,900018883733285632,111.19038296551,38.8456491176,4.5617,0.997765,42.09,7.568,-41.403,18.533300399780273,18.561899185180664,18.60099983215332,12883.63,1873.69,8.140695,0.211086,0.692652,12459.45,1394.99,8.054595,0.26918,0.617662,12312.91,1523.41,8.037943,0.289386,222.290146,210.370926,233.494736,222.513351,211.362503,236.441788,J072445.67+385044.8,18.937999725341797,18.485000610351562,18.628000259399414,18.80299949645996,19.049999237060547,162064,DA,179.6026550708764,22.7328988866923
36,421,28068,892854912642782592,111.28796024894,31.82904831778,3.2513,0.996312,43.484,25.616,-35.138,18.155500411987305,18.1697998046875,18.206600189208984,12825.01,1446.42,7.385206,0.261722,0.362271,13323.09,1518.83,7.464159,0.294732,0.388055,13243.19,1556.55,7.462816,0.305454,312.581329,285.581573,346.203552,263.128357,254.367203,272.343262,J072509.09+314944.8,18.56100082397461,18.054000854492188,18.25200080871582,18.42300033569336,18.51300048828125,162204,DA,186.78517502841757,20.5676596017784
37,432,28215,948836066134672768,111.42492215254,42.12695089921,5.298,0.999722,18.467,-12.95,-13.166,17.108800888061523,17.02549934387207,17.29439926147461,20356.76,1349.87,7.958342,0.102146,0.6013,21280.66,1847.93,8.093295,0.100148,0.654459,21284.44,1869.62,8.099637,0.100467,189.134216,186.34996,192.179031,190.466248,186.497849,193.441605,J072541.99+420737.1,16.934999465942383,16.91699981689453,17.27199935913086,17.584999084472656,17.881999969482422,162432,DA,176.23380530734255,23.83930031804189
38,439,28290,948635748860409600,111.49615987259,41.21273357168,2.3174,0.998868,5.464,0.515,5.44,18.428499221801758,18.35379981994629,18.743099212646484,27764.55,6746.72,8.019002,0.453113,0.651514,34104.47,10726.38,8.152528,0.425498,0.743772,34140.8,10655.67,8.158369,0.425946,440.785706,410.571808,474.20105,415.776611,402.520996,427.572937,J072559.07+411245.7,18.062999725341797,18.19700050354004,18.634000778198242,18.91900062561035,19.195999145507812,162549,DA,177.20991056309663,23.638655167910034
39,442,28292,897003919770319360,111.4986210467,35.64327781795,3.0386,0.998203,29.014,-6.225,-28.338,17.986299514770508,17.963499069213867,18.0935001373291,14898.43,1587.91,7.378543,0.1662,0.370701,15168.97,1626.08,7.471612,0.197782,0.398118,15076.38,1607.66,7.472859,0.1976,330.124939,315.639709,346.860504,301.790253,294.769135,310.246277,J072559.67+353836.2,17.993000030517578,17.844999313354492,18.114999771118164,18.3700008392334,18.660999298095703,162553,DA,182.98006915888433,21.984753725863943
40,446,28329,900462089997533952,111.53306936477,39.85330617733,2.1033,0.997679,15.324,12.986,-8.137,18.009300231933594,17.9153995513916,18.31100082397461,31528.16,5737.87,7.819296,0.328222,0.563115,39882.23,6494.62,7.959657,0.276791,0.651161,39945.75,7280.41,7.966719,0.28503,485.516357,450.748871,522.699951,452.963776,430.797791,475.085449,J072607.91+395111.9,17.45800018310547,17.7810001373291,18.267000198364258,18.575000762939453,18.923999786376953,162608,DA,178.6399565792993,23.280976014242157
41,451,28351,892118823967394688,111.55621947006,31.66579410128,3.4774,0.998395,9.085,7.555,-5.046,18.461599349975586,18.520999908447266,18.587900161743164,12778.9,1443.68,7.66461,0.20264,0.447281,12592.0,1248.35,7.654891,0.225006,0.443956,12457.95,1345.15,7.6431,0.250433,289.124817,270.991699,309.039398,291.230347,275.460052,308.089508,J072613.48+313956.8,18.628000259399414,18.297000885009766,18.56999969482422,18.86199951171875,18.933000564575195,162645,DA,187.03210190187764,20.726717403812543
42,454,28382,893003896467950976,111.58976540123,32.48281508407,4.5011,0.999609,36.443,3.409,-36.283,17.805500030517578,17.798200607299805,17.941299438476562,15571.05,1818.07,7.845145,0.179885,0.529073,15838.29,2082.03,7.925048,0.237306,0.54873,15754.76,2123.45,7.928668,0.242654,222.932144,215.834152,229.014221,225.004913,219.274872,231.373642,J072621.54+322858.4,17.945999145507812,17.655000686645508,17.96500015258789,18.20400047302246,18.525999069213867,162704,DA,186.21903572174634,21.028738139193226
43,456,28440,900463258228658688,111.64329607066,39.91098110119,6.6791,0.992728,36.114,-4.082,-35.883,18.805099487304688,18.924400329589844,18.683399200439453,9204.69,794.92,8.291427,0.233561,0.781349,8909.36,747.74,8.198237,0.231109,0.702118,8509.93,704.01,8.045741,0.251683,149.783737,145.392532,154.890427,154.845306,149.584396,160.146912,J072634.38+395439.9,19.259000778198242,18.847999572753906,18.886999130249023,18.96299934387207,19.165000915527344,162791,DA,178.60619784579984,23.378546253055916
44,458,28485,872851639333947008,111.69552205796,27.84695084525,6.0844,0.999354,24.819,-24.549,3.648,17.302499771118164,17.2810001373291,17.409299850463867,14166.76,924.81,7.839048,0.114182,0.522235,13761.88,846.08,7.808159,0.113584,0.48305,13679.61,846.31,7.808444,0.116057,164.07251,160.826797,167.895279,164.2099,159.988495,167.837463,J072646.95+275048.9,17.409000396728516,17.136999130249023,17.445999145507812,17.690000534057617,17.959999084472656,162862,DA,190.88726836196594,19.50401781373118
45,463,28520,900551975073728128,111.72975996537,40.50772598081,1.9178,0.998245,8.829,3.213,-8.224,18.691200256347656,18.6072998046875,18.890300750732422,23643.61,5781.42,7.698307,0.450098,0.482499,27224.95,7781.21,7.78683,0.40869,0.502543,27261.96,7831.17,7.794334,0.409448,566.043274,499.615448,659.828003,502.709961,466.890564,532.872498,J072655.13+403027.8,18.4060001373291,18.48699951171875,18.892000198364258,19.23200035095215,19.469999313354492,162916,DA,178.0026341886225,23.6110859054668
46,466,28542,896951830406797568,111.74544093054,35.52479428415,12.2513,0.993038,48.77,32.443,-36.414,18.021699905395508,18.20509910583496,17.707300186157227,7233.25,253.86,8.092392,0.102147,0.648833,7101.35,249.47,8.02798,0.109429,0.591414,6854.02,195.04,7.877204,0.096737,81.5948181,80.9412689,82.5281219,82.2334366,80.9564514,172.388184,J072658.86+353129.8,18.76799964904785,18.224000930786133,18.04599952697754,17.98200035095215,18.0,162946,DA,183.16963075318094,22.137941067132417
47,468,28576,899868628597167104,111.77219345827,39.18841687553,2.3425,0.999438,32.342,-2.794,-32.221,18.70400047302246,18.63330078125,18.871400833129883,20634.26,2969.1,7.823395,0.275878,0.531543,21893.16,5366.85,7.95774,0.230044,0.577727,21944.71,5583.32,7.965552,0.228888,436.766083,410.700043,477.526428,425.944794,406.688293,505.893341,J072705.33+391118.7,18.488000869750977,18.476999282836914,18.87299919128418,19.12700080871582,19.452999114990234,162995,DA,179.39089168333132,23.265658258306214
48,471,28661,948741512429428480,111.84588707797,41.62669710973,7.6928,0.998518,46.823,-8.916,-45.966,17.48590087890625,17.46540069580078,17.592300415039062,15623.04,1125.91,8.41034,0.093575,0.869587,15290.22,1209.19,8.427144,0.126535,0.860412,15179.03,1213.53,8.427252,0.12843,130.153793,128.393875,132.091614,129.73172,127.680107,131.759659,J072723.02+413736.5,17.7189998626709,17.371000289916992,17.628999710083008,17.850000381469727,18.058000564575195,163125,DA,176.85375400949047,24.00469856960307
49,475,28667,900558331625377024,111.85282063457,40.60578089134,8.8135,0.995371,135.003,15.74,-134.082,18.216699600219727,18.214500427246094,18.233400344848633,12650.46,1213.17,8.798364,0.119278,1.100716,11965.84,1043.15,8.688047,0.132696,1.023625,11758.0,1196.76,8.66313,0.165055,113.363731,111.332924,115.194321,112.962105,111.281197,114.688995,J072724.65+403622.0,18.339000701904297,18.106000900268555,18.340999603271484,18.54199981689453,18.781999588012695,163137,DA,177.92846076919332,23.728309837201444
50,493,28892,898560244120077696,112.05284203567,36.47401630054,2.7665,0.999543,6.542,6.268,-1.875,18.680299758911133,18.600900650024414,18.83880043029785,20317.64,3997.97,8.043699,0.368618,0.649333,19942.49,5205.05,8.114748,0.394464,0.665397,19922.28,5288.25,8.120223,0.397139,372.832855,334.569244,412.213287,389.568939,339.278229,409.791595,J072812.67+362826.5,18.51099967956543,18.490999221801758,18.856000900268555,19.155000686645508,19.39900016784668,163483,DA,182.27694365294687,22.668732606483527
51,497,28993,900656188159685760,112.15696740797,40.84704857774,2.972,0.998892,19.442,-2.534,-19.276,18.30620002746582,18.297000885009766,18.702299118041992,19722.9,5430.64,7.847282,0.386113,0.541024,21522.0,8944.46,8.029044,0.359868,0.617126,21539.55,9084.72,8.035929,0.360514,342.503967,328.810089,361.342621,343.649597,330.809601,357.667603,J072837.67+405049.6,18.17099952697754,18.10700035095215,18.481000900268555,18.73699951171875,19.076000213623047,163636,DA,177.7447517219378,24.01660704058604
52,499,29016,3169614331770315392,112.17788707951,17.13112405303,11.5971,0.997365,24.452,4.736,-23.989,16.48110008239746,16.49690055847168,16.466400146484375,11504.0,295.42,7.998342,0.046475,0.603533,11550.21,316.22,7.927186,0.055435,0.541828,11282.09,360.77,7.876026,0.070974,85.8384933,85.4046707,86.3203049,86.039299,85.6066742,86.3818054,J072842.69+170752.3,16.83099937438965,16.402999877929688,16.57699966430664,16.738000869750977,16.961999893188477,163671,DA,201.4472815846366,15.785005038263423
53,500,29019,892062920674000512,112.18352457799,31.61768031187,3.5353,0.999201,23.272,8.128,-21.807,18.080699920654297,17.95549964904785,18.084999084472656,12595.63,745.83,7.433174,0.126486,0.375441,13234.68,813.59,7.520754,0.14733,0.404541,13154.76,839.28,7.519239,0.153797,281.376129,267.425873,296.851898,278.199707,268.966675,286.913879,J072844.03+313704.0,18.051000595092773,17.878000259399414,18.16699981689453,18.371999740600586,18.652000427246094,163676,DA,187.27359208606146,21.21321393634302
